product,price,category,variant,web
維大力零熱量汽水 330ml,96.0,飲料零食/水．汽水/汽水/沙士,330ml毫升 x 1 x 6Can罐,https://online.carrefour.com.tw//zh/%E7%B6%AD%E5%A4%A7%E5%8A%9B/1000210200106.html
李施德霖櫻花蜜桃漱口水500ml,248.0,美妝個清/個人清潔/口腔清潔用品/漱口水,500ml毫升 x 1 x 1PC瓶,https://online.carrefour.com.tw//zh/%E6%9D%8E%E6%96%BD%E5%BE%B7%E9%9C%96/1210508900101.html
無塵氏薰衣草擦拭拖地兩用布,59.0,日用生活/家庭清潔 殺蟲/清潔工具/打掃除塵工具/靜電紙,1PC包 x 1 x 1PC包,https://online.carrefour.com.tw//zh/%E7%84%A1%E5%A1%B5%E6%B0%8F/3156702500101.html
Gery厚醬椰香蘇打餅,50.0,飲料零食/精選餅乾/甜餅乾/其它口味夾心,105g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/gery/1412104400101.html
元本山海苔堅果夾心-杏仁香鬆,109.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,48g克 x 1 x 1PACK包,https://online.carrefour.com.tw//zh/%E5%85%83%E6%9C%AC%E5%B1%B1/1420410600101.html
輕時代絕對乾燥集水替換包檸檬清香570g,96.0,日用生活/家庭清潔 殺蟲/除濕．香氛,570g克 x 1 x 1PC包,https://online.carrefour.com.tw//zh/%E8%BC%95%E6%99%82%E4%BB%A3/1103203300101.html
OG巧克力覆蓋餅,89.0,飲料零食/精選餅乾/甜餅乾/巧克力口味,102g克 x 1 x 1BOX盒,https://online.carrefour.com.tw//zh/1410236000101.html
Gery厚醬椰子巧克力蘇打餅,50.0,飲料零食/精選餅乾/甜餅乾/夾心餅乾,105g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/gery/1412001000101.html
盛香珍杏仁奶油曲奇,78.0,飲料零食/精選餅乾/甜餅乾/其它口味,85g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E7%9B%9B%E9%A6%99%E7%8F%8D/1410427200101.html
茶樹莊園超濃縮洗碗精補充包-茶樹檸檬,118.0,日用生活/家庭清潔 殺蟲/洗碗精,700g克 x 1 x 1Bag袋,https://online.carrefour.com.tw//zh/%E8%8A%B1%E4%BB%99%E5%AD%90/1105006500201.html
妙管家有酵洗衣精補充包-中性2000g,98.0,日用生活/家庭清潔 殺蟲/洗衣精 洗衣球,2000g克 x 1 x 1Pack包,https://online.carrefour.com.tw//zh/%E5%8F%B0%E7%81%A3%E5%A6%99%E7%AE%A1%E5%AE%B6/1110309000101.html
可家芬抗蟑驅蠅清潔袋(小),89.0,日用生活/家庭清潔 殺蟲/清潔工具/垃圾袋．垃圾桶,1Pack包 x 1 x 1Pack包,https://online.carrefour.com.tw//zh/3150000600101.html
萬歲牌薄鹽堅果綜合果,198.0,飲料零食/休閒零食/堅果類/混合,156g克 x 1 x 1Pack包,https://online.carrefour.com.tw//zh/%E8%90%AC%E6%AD%B2%E7%89%8C/1424402300101.html
靠得住草本瞬吸護墊17.5cm-24PC,129.0,美妝個清/女性衛生/衛生棉/護墊,24PC片 x 1 x 2PC包,https://online.carrefour.com.tw//zh/%E9%9D%A0%E5%BE%97%E4%BD%8F/1212008200102.html
雋品HiBs-三切岩燒海苔-卵黃口味,116.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,30g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E9%9B%8B%E5%93%81/1420418800101.html
舒潔家用紙巾 -貼心巧撕 FSC-108PC張 x 6 x 1Pack包,189.0,日用生活/衛生紙/廚房紙巾/廚房紙巾,108PC張 x 6 x 1Pack包,https://online.carrefour.com.tw//zh/%E8%88%92%E6%BD%94/1222001200101.html
妙管家有酵洗衣精補充包-亮彩,98.0,日用生活/家庭清潔 殺蟲/洗衣精 洗衣球,2000g克 x 1 x 1Pack包,https://online.carrefour.com.tw//zh/%E5%8F%B0%E7%81%A3%E5%A6%99%E7%AE%A1%E5%AE%B6/1110305000101.html
可家芬抗蟑驅蠅清潔袋(大),89.0,日用生活/家庭清潔 殺蟲/清潔工具/垃圾袋．垃圾桶,1Pack包 x 1 x 1Pack包,https://online.carrefour.com.tw//zh/%E5%8F%AF%E5%AE%B6%E8%8A%AC/3150200600101.html
百家珍蜂蜜醋600ml,219.0,飲料零食/果汁．養生/濃縮飲料/水果醋/濃縮醋,600ml毫升 x 1 x 1Bottle瓶,https://online.carrefour.com.tw//zh/%E7%99%BE%E5%AE%B6%E7%8F%8D/1005202100101.html
萬歲活力纖果綜合果-156g,198.0,飲料零食/休閒零食/堅果類/混合,156g克 x 1 x 1BOX盒,https://online.carrefour.com.tw//zh/%E8%90%AC%E6%AD%B2%E7%89%8C/1424402100101.html
惜惜康普茶青梅氣泡 420ml,140.0,飲料零食/茶飲．咖啡/紅茶．花茶．水果茶/紅茶,420ml毫升 x 1 x 4Bottle瓶,https://online.carrefour.com.tw//zh/%E6%83%9C%E6%83%9C/1003407100104.html
熊寶貝護衣芳香豆藍風鈴X白麝補充包300ML,198.0,日用生活/家庭清潔 殺蟲/柔軟冷洗精．漂白劑,300ml毫升 x 1 x 1PC包,https://online.carrefour.com.tw//zh/snuggle%E7%86%8A%E5%AF%B6%E8%B2%9D/1111007200101.html
麥斯威爾特濃咖啡3合1經濟包13gx25,185.0,米油沖泡/咖啡．茶包/咖啡/咖啡隨身包,13g克 x 25 x 1Bag袋,https://online.carrefour.com.tw//zh/%E9%BA%A5%E6%96%AF%E5%A8%81%E7%88%BE/1431105000101.html
清淨海環保地板清潔劑,190.0,日用生活/家庭清潔 殺蟲/家用清潔/地板．玻璃,2000ml毫升 x 1 x 1Bottle瓶,https://online.carrefour.com.tw//zh/%E6%B8%85%E6%B7%A8%E6%B5%B7/1101000700101.html
盛香珍黃金巧克力巧克酥,78.0,飲料零食/精選餅乾/甜餅乾/夾心餅乾,130g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E7%9B%9B%E9%A6%99%E7%8F%8D/1412005600101.html
森田藥粧蘆薈晶透洗面乳120g,148.0,美妝個清/個人清潔/卸妝洗顏/洗面乳．卸妝乳,120g克 x 1 x 1PC條,https://online.carrefour.com.tw//zh/%E6%A3%AE%E7%94%B0%E8%97%A5%E7%B2%A7/1202034200101.html
工作日誌Friday濾掛(分享快樂咖啡)8g X8,148.0,米油沖泡/咖啡．茶包/咖啡/咖啡,8g克 x 8 x 1BOX盒,https://online.carrefour.com.tw//zh/%E5%B7%A5%E4%BD%9C%E6%97%A5%E8%AA%8C/1431513800101.html
工作日誌Thursday濾掛(星光分享咖啡)8g X8,148.0,米油沖泡/咖啡．茶包/咖啡/咖啡,8g克 x 8 x 1BOX盒,https://online.carrefour.com.tw//zh/%E5%B7%A5%E4%BD%9C%E6%97%A5%E8%AA%8C/1431514000101.html
"舒潔迪士尼袖珍包面紙FSC-10PCx30包(圖案隨機)*限量包裝,恕不指定(以實際出貨為主)",98.0,日用生活/衛生紙/面紙．濕紙巾/紙手帕．袖珍面紙,10PC抽 x 30 x 1Set組,https://online.carrefour.com.tw//zh/%E8%88%92%E6%BD%94/1221101600101.html
高露潔抗敏感  強護琺瑯質牙膏,168.0,美妝個清/個人清潔/口腔清潔用品/功能性牙膏,120g克 x 1 x 1PC支,https://online.carrefour.com.tw//zh/%E9%AB%98%E9%9C%B2%E6%BD%94colgate/1210202000101.html
無塵氏十字壓紋除塵紙4入組,159.0,日用生活/家庭清潔 殺蟲/清潔工具/打掃除塵工具/靜電紙,1Set組 x 1 x 1SET組,https://online.carrefour.com.tw//zh/%E7%84%A1%E5%A1%B5%E6%B0%8F/3156705300101.html
桂格美味三合一麥片 經典麥香,138.0,米油沖泡/沖泡飲品．食品/沖泡飲品/三合一麥片,330g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E6%A1%82%E6%A0%BC/1436292400101.html
茶樹莊園天然濃縮消臭洗衣精補充包800g,118.0,日用生活/家庭清潔 殺蟲/洗衣精 洗衣球,800g克 x 1 x 1BOX箱,https://online.carrefour.com.tw//zh/%E8%8A%B1%E4%BB%99%E5%AD%90/1110301300101.html
靠得住晚安好眠褲L 2片,99.0,美妝個清/女性衛生/衛生棉/夜用,2PC片 x 1 x 1PC包,https://online.carrefour.com.tw//zh/%E9%9D%A0%E5%BE%97%E4%BD%8F/1212316600101.html
蒲公英環保抽取衛生紙100PCx12,230.0,日用生活/衛生紙/抽取式．平板．滾筒/抽取,100PC抽 x 1 x 12PC包,https://online.carrefour.com.tw//zh/%E8%92%B2%E5%85%AC%E8%8B%B1/1220106500112.html
靠得住暖心香氛梔子花護墊14.5cm-25PC,99.0,美妝個清/女性衛生/衛生棉/護墊,25PC片 x 1 x 2PC包,https://online.carrefour.com.tw//zh/%E9%9D%A0%E5%BE%97%E4%BD%8F/1212002500102.html
李施德霖柚戀百香漱口水500ml,248.0,美妝個清/個人清潔/口腔清潔用品/漱口水,500ml毫升 x 1 x 1PC瓶,https://online.carrefour.com.tw//zh/%E6%9D%8E%E6%96%BD%E5%BE%B7%E9%9C%96/1210506900101.html
歐特滿分優果有機全果蔓越莓乾 100g,200.0,飲料零食/休閒零食/果乾蜜餞/水果果肉,100g克 x 1 x 1PACK包,https://online.carrefour.com.tw//zh/%E6%AD%90%E7%89%B9/1421028100101.html
森田藥炭深層潔淨洗顏乳120g,148.0,美妝個清/個人清潔/卸妝洗顏/洗面乳．卸妝乳,120g克 x 1 x 1PC支,https://online.carrefour.com.tw//zh/%E6%A3%AE%E7%94%B0%E8%97%A5%E7%B2%A7/1202004800101.html
葡萄王康普茶雙纖飲530ml,136.0,飲料零食/茶飲．咖啡/紅茶．花茶．水果茶/紅茶,530ml毫升 x 1 x 4Bottle瓶,https://online.carrefour.com.tw//zh/%E8%91%A1%E8%90%84%E7%8E%8B/1003191500104.html
OP生物分解抗菌立體密封袋 L(17入),98.0,日用生活/餐廚用品/保鮮容器/保鮮膜,1PC個 x 1 x 1PC個,https://online.carrefour.com.tw//zh/op/3142104100101.html
元本山海苔堅果夾心-花生核桃,109.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,48g克 x 1 x 1PACK包,https://online.carrefour.com.tw//zh/%E5%85%83%E6%9C%AC%E5%B1%B1/1420400400101.html
"舒潔紙手帕限定版 FSC(圖案隨機)*限量包裝,恕不指定(以實際出貨為主)",98.0,日用生活/衛生紙/面紙．濕紙巾/紙手帕．袖珍面紙,10PC抽 x 15 x 1Set組,https://online.carrefour.com.tw//zh/%E8%88%92%E6%BD%94/1221101300101.html
得意的一天國民優質調合油2L,378.0,米油沖泡/米．食用油/食用油/其他油類,2L公升 x 1 x 1Bottle瓶,https://online.carrefour.com.tw//zh/%E5%BE%97%E6%84%8F%E7%9A%84%E4%B8%80%E5%A4%A9/1461501700101.html
UCC職人柔和果香濾掛式咖啡 8g X12,176.0,米油沖泡/咖啡．茶包/咖啡/咖啡,8g克 x 12 x 1BOX盒,https://online.carrefour.com.tw//zh/ucc/1431513400101.html
橘平屋韓式半切海苔-黑白胡椒風味,129.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,36g克 x 1 x 1PACK包,https://online.carrefour.com.tw//zh/%E6%A9%98%E5%B9%B3%E5%B1%8B/1420410100101.html
舒潔女性專用濕式衛生紙14PCx2,98.0,日用生活/衛生紙/抽取式．平板．滾筒/抽取,14PC抽 x 2 x 1PC包,https://online.carrefour.com.tw//zh/%E8%88%92%E6%BD%94/1220100800101.html
楓康不鏽鋼專用菜瓜布,63.0,日用生活/家庭清潔 殺蟲/清潔工具/衛浴清潔工具,1PC個 x 1 x 1PC個,https://online.carrefour.com.tw//zh/%E6%A5%93%E5%BA%B7/3153389300101.html
熊寶貝多效護衣芳香豆青檸X甜橙補充包300ML,198.0,日用生活/家庭清潔 殺蟲/柔軟冷洗精．漂白劑,300ml毫升 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E7%86%8A%E5%AF%B6%E8%B2%9D/1111011000101.html
"舒潔 濕式面紙(圖案隨機) 15抽*限量包裝,恕不指定(以實際出貨為主)",98.0,日用生活/衛生紙/面紙．濕紙巾/紙手帕．袖珍面紙,15PC抽 x 1 x 3Pack包,https://online.carrefour.com.tw//zh/%E8%88%92%E6%BD%94/1221102300103.html
高露潔抗敏感牙膏-潔淨亮白,168.0,美妝個清/個人清潔/口腔清潔用品/功能性牙膏,120g克 x 1 x 1PC支,https://online.carrefour.com.tw//zh/%E9%AB%98%E9%9C%B2%E6%BD%94colgate/1210202200101.html
桂格美味三合一麥片 麥香減糖,138.0,米油沖泡/沖泡飲品．食品/沖泡飲品/三合一麥片,325g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E6%A1%82%E6%A0%BC/1436292500101.html
有機囍瑞-澳洲有機全脂牛奶1000ml,160.0,生鮮冷凍/奶蛋點心食品/保久乳,1000ml毫升 x 1 x 1Bottle瓶,https://online.carrefour.com.tw//zh/1502001200101.html
雋品HiBs三切岩燒海苔-無調味,116.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,30g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E9%9B%8B%E5%93%81/1420418600101.html
東和好媽媽辣妹鮪魚130g,198.0,米油沖泡/調味．罐頭湯品．南北貨/罐頭/鮪魚,130g克 x 1 x 3Can罐,https://online.carrefour.com.tw//zh/%E6%9D%B1%E5%92%8C%E5%A5%BD%E5%AA%BD%E5%AA%BD/1483010800103.html
舒潔威象大尺寸家用紙巾 FSC,189.0,日用生活/衛生紙/廚房紙巾/廚房紙巾,60PC張 x 6 x 1Set組,https://online.carrefour.com.tw//zh/%E8%88%92%E6%BD%94/1222000500101.html
